peak_id,featID
25275,FT08462
31599,FT08462
38051,FT08462
50443,FT08524
87799,FT08524
25915,FT08524
40385,FT08524
127418,FT08524
31897,FT08524
50195,FT09145
188495,FT09145
201437,FT09145
87701,FT09202
259586,FT09202
246612,FT09202
38021,FT09223
50259,FT09223
87467,FT09223
25248,FT09223
31487,FT09223
227673,FT09223
49195,FT09365
195149,FT09365
36929,FT09365
25260,FT09427
215060,FT09427
38039,FT09427
37970,FT09451
65264,FT09451
103628,FT09548
40478,FT09548
90122,FT09548
215114,FT09560
201632,FT09560
49696,FT09575
215130,FT09602
188701,FT09602
195232,FT09602
201650,FT09602
201661,FT09618
34307,FT09618
129511,FT09619
25173,FT09914
201861,FT10025
253507,FT10025
97050,FT10025
266289,FT10025
188905,FT10025
87581,FT10022
215367,FT10025
215365,FT10022
279581,FT10025
93793,FT10022
135228,FT10023
21609,FT10022
285774,FT10025
266288,FT10023
25622,FT10022
221633,FT10025
233897,FT10025
31719,FT10023
38138,FT10022
127272,FT10023
246964,FT10025
253551,FT10082
221665,FT10082
62869,FT10225
90217,FT10247
201959,FT10247
50414,FT10247
25808,FT10247
215467,FT10275
34368,FT10275
201967,FT10275
189008,FT10275
182586,FT10275
266497,FT10419
260157,FT10419
87585,FT10419
189118,FT10419
215567,FT10419
195663,FT10419
182698,FT10419
202060,FT10419
182727,FT10470
132778,FT10469
253769,FT10469
228317,FT10470
228316,FT10469
260185,FT10469
215599,FT10470
31712,FT10470
189152,FT10470
202088,FT10470
24233,FT10558
132454,FT10584
90239,FT10584
31134,FT10584
27915,FT10584
37591,FT10584
215710,FT10722
189274,FT10722
202209,FT10722
195809,FT10722
24435,FT10743
34405,FT10743
86476,FT10979
34430,FT10979
126562,FT10979
49200,FT10979
27959,FT10979
40605,FT10979
247428,FT10977
222078,FT10977
292927,FT10977
195952,FT10977
202326,FT10977
94019,FT10977
266750,FT10977
234273,FT10977
253994,FT10977
112830,FT10979
202346,FT11052
31292,FT11052
299606,FT11050
182989,FT11050
90300,FT11050
49939,FT11050
27968,FT11050
40615,FT11050
260433,FT11073
215890,FT11073
31651,FT11073
195991,FT11122
40631,FT11122
27977,FT11122
53002,FT11122
228634,FT11122
38011,FT11192
53007,FT11192
31457,FT11192
215924,FT11193
34456,FT11193
189464,FT11193
202384,FT11193
50308,FT11274
27990,FT11274
40649,FT11274
40655,FT11363
189787,FT11782
216235,FT11782
254366,FT11782
37939,FT11782
228955,FT11782
196329,FT11782
183339,FT11782
216240,FT11806
196334,FT11806
202637,FT11806
30952,FT11819
49672,FT11819
24678,FT11819
37404,FT11819
93871,FT11829
183350,FT11829
216246,FT11829
202643,FT11829
25725,FT11829
50093,FT11968
196434,FT11968
28050,FT11968
40719,FT11968
25593,FT12174
31678,FT12174
53107,FT12174
202794,FT12174
196553,FT12276
216454,FT12288
100537,FT12288
202820,FT12288
49808,FT12542
202899,FT12569
216558,FT12629
190114,FT12629
38105,FT12629
31147,FT12681
37636,FT12681
53162,FT12681
100547,FT12727
100548,FT12727
196689,FT12727
216588,FT12727
202936,FT12727
28130,FT12838
196704,FT12838
38251,FT12838
132877,FT12853
190163,FT12854
216602,FT12854
53193,FT13028
25969,FT13028
40828,FT13028
53200,FT13090
